	DRUG	CTRL	EC50	PARENT_ID	DATE
379	CDV	14.44	6.599	689	2023-05-19 00:00:00
380	FOS	107.5	78.44	689	2023-05-19 00:00:00
381	ACV	1.472	1.984	490	2019-11-08 00:00:00
382	PCV	3.304	9.361	490	2019-11-08 00:00:00
383	CDV	10.36	42.15	490	2019-11-08 00:00:00
384	FOS	111.2	62.19	490	2019-11-08 00:00:00
385	ACV	2.137	0.6506	661	2022-12-02 00:00:00
386	CDV	31.5	14.03	661	2022-12-02 00:00:00
387	FOS	138.4	134.1	661	2022-12-02 00:00:00
388	ACV	0.6422	1.224	7	2010-03-15 00:00:00
389	PCV	5.130	7.189	7	2010-03-15 00:00:00
390	CDV	13.50	10.44	7	2010-03-15 00:00:00
391	FOS	252.	226.5	7	2010-03-15 00:00:00
392	ACV	4.072	1.984	316	2025-07-30 16:15:49
393	PCV	6.337	11.36	316	2025-07-30 16:15:49
394	CDV	26.01	86.06	316	2025-07-30 16:15:49
395	FOS	261.1	75.20	316	2025-07-30 16:15:49
396	CDV	13.93	21.30	635	2022-09-12 00:00:00
397	FOS	100.4	288.8	635	2022-09-12 00:00:00
398	ACV	1.521	6.361	748	2025-04-04 00:00:00
399	FOS	117.7	100.6	748	2025-04-04 00:00:00
400	ACV	0.9921	34.46	326	2016-12-09 00:00:00
401	PCV	3.581	127.	326	2016-12-09 00:00:00
402	CDV	7.695	2.886	326	2016-12-09 00:00:00
403	FOS	70.71	61.65	326	2016-12-09 00:00:00
404	ACV	0.9746	5.770	454	2018-08-21 00:00:00
405	PCV	2.409	11.69	454	2018-08-21 00:00:00
406	CDV	12.79	13.87	454	2018-08-21 00:00:00
407	FOS	110.6	133.7	454	2018-08-21 00:00:00
408	CDV	4.894	1.969	562	2021-04-26 00:00:00
409	ACV	0.4781	14.30	364	2017-08-11 00:00:00
410	PCV	3.106	122.3	364	2017-08-11 00:00:00
411	CDV	8.896	2.388	364	2017-08-11 00:00:00
412	FOS	88.07	53.59	364	2017-08-11 00:00:00
413	ACV	1.017	0.3604	198	2014-10-03 00:00:00
414	PCV	4.215	1.558	198	2014-10-03 00:00:00
415	CDV	10.03	8.072	198	2014-10-03 00:00:00
416	FOS	150.3	67.67	198	2014-10-03 00:00:00
417	ACV	0.2480	1.501	413	2018-04-09 00:00:00
418	PCV	3.893	10.08	413	2018-04-09 00:00:00
419	CDV	2.480	27.94	413	2018-04-09 00:00:00
420	FOS	81.05	65.89	413	2018-04-09 00:00:00
421	ACV	1.464	4.328	545	2021-01-25 00:00:00
422	CDV	30.97	29.92	545	2021-01-25 00:00:00
423	FOS	227.1	225.3	545	2021-01-25 00:00:00
424	ACV	1.022	20.89	87	2025-07-30 16:15:44
425	PCV	4.102	>160.0	87	2025-07-30 16:15:44
426	CDV	12.07	7.663	87	2025-07-30 16:15:44
427	FOS	191.3	57.29	87	2025-07-30 16:15:44
428	ACV	1.067	0.6973	761	2025-08-01 00:00:00
429	CDV	7.480	9.414	761	2025-08-01 00:00:00
430	FOS	62.27	58.92	761	2025-08-01 00:00:00
431	ACV	1.044	1.119	438	2018-06-08 00:00:00
432	PCV	4.912	3.055	438	2018-06-08 00:00:00
433	CDV	17.45	12.23	438	2018-06-08 00:00:00
434	FOS	126.	83.51	438	2018-06-08 00:00:00
435	ACV	1.914	1.208	223	2015-02-02 00:00:00
436	PCV	6.203	8.392	223	2015-02-02 00:00:00
437	CDV	13.17	61.72	223	2015-02-02 00:00:00
438	FOS	210.7	74.2	223	2015-02-02 00:00:00
439	ACV	1.017	0.3915	199	2014-10-03 00:00:00
440	PCV	4.215	1.984	199	2014-10-03 00:00:00
441	CDV	10.03	12.19	199	2014-10-03 00:00:00
442	FOS	150.3	74.21	199	2014-10-03 00:00:00
443	ACV	0.6413	1.078	441	2018-07-16 00:00:00
444	PCV	2.558	5.460	441	2018-07-16 00:00:00
445	CDV	9.921	79.37	441	2018-07-16 00:00:00
446	FOS	86.55	70.03	441	2018-07-16 00:00:00
447	ACV	1.072	1.029	34	2011-03-07 00:00:00
448	PCV	4.612	3.327	34	2011-03-07 00:00:00
449	CDV	6.750	10.64	34	2011-03-07 00:00:00
450	FOS	185.8	73.17	34	2011-03-07 00:00:00
451	ACV	2.297	>40.0	256	2015-10-09 00:00:00
452	PCV	5.297	133.	256	2015-10-09 00:00:00
453	CDV	14.34	2.139	256	2015-10-09 00:00:00
454	FOS	133.5	138.6	256	2015-10-09 00:00:00
455	ACV	0.9921	1.294	327	2016-12-09 00:00:00
456	PCV	3.581	7.937	327	2016-12-09 00:00:00
457	CDV	7.695	44.54	327	2016-12-09 00:00:00
458	FOS	70.71	55.48	327	2016-12-09 00:00:00
459	ACV	0.9798	12.51	244	2015-07-10 00:00:00
460	PCV	5.801	21.54	244	2015-07-10 00:00:00
461	CDV	19.28	37.15	244	2015-07-10 00:00:00
462	FOS	246.6	>800.0	244	2015-07-10 00:00:00
463	ACV	1.751	1.104	756	2025-06-20 00:00:00
464	CDV	6.882	17.22	756	2025-06-20 00:00:00
465	FOS	83.59	96.51	756	2025-06-20 00:00:00
466	ACV	1.108	>40.0	786	2019-06-10 00:00:00
467	PCV	2.432	>160.0	786	2019-06-10 00:00:00
468	CDV	9.508	2.809	786	2019-06-10 00:00:00
469	FOS	101.0	68.52	786	2019-06-10 00:00:00
470	ACV	3.873	19.41	286	2025-07-30 16:15:48
471	PCV	19.49	15.38	286	2025-07-30 16:15:48
472	CDV	37.59	2.375	286	2025-07-30 16:15:48
473	FOS	289.5	<50.0	286	2025-07-30 16:15:48
