	LOCATION	FILENAME	DATE	RUNID
55	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180104_162020_pol1.fas	2018-01-04 00:00:00	162020
56	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180106_162132_TK1.fas	2018-01-06 00:00:00	162132
57	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180106_162132_pol1.fas	2018-01-06 00:00:00	162132
58	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180112_162197_TK1.fas	2018-01-12 00:00:00	162197
59	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180112_162197_pol1.fas	2018-01-12 00:00:00	162197
60	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180125_162443_TK1.fas	2018-01-25 00:00:00	162443
61	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180125_162443_TK2.fas	2018-01-25 00:00:00	162443
62	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180125_162443_pol1.fas	2018-01-25 00:00:00	162443
63	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180125_162443_pol2.fas	2018-01-25 00:00:00	162443
64	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180205_162557_TK1.fas	2018-02-05 00:00:00	162557
65	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180209_162633_pol1.fas	2018-02-09 00:00:00	162633
66	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180209_162633_pol2.fas	2018-02-09 00:00:00	162633
67	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180213_162674_TK1.fas	2018-02-13 00:00:00	162674
68	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180213_162674_pol1.fas	2018-02-13 00:00:00	162674
69	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180216_162741_TK1.fas	2018-02-16 00:00:00	162741
70	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180216_162741_TK2.fas	2018-02-16 00:00:00	162741
71	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180216_162741_pol1.fas	2018-02-16 00:00:00	162741
72	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180216_162741_pol2.fas	2018-02-16 00:00:00	162741
73	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180221_Renata.HSVamp.genomes.fas	2018-02-21 00:00:00	RENATA.HSVAMP.GENOMES
74	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162836_TK1.fas	2018-02-27 00:00:00	162836
75	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162836_TK2.fas	2018-02-27 00:00:00	162836
76	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162836_pol1.fas	2018-02-27 00:00:00	162836
77	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162836_pol2.fas	2018-02-27 00:00:00	162836
78	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162841_TK1.fas	2018-02-27 00:00:00	162841
79	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180227_162841_pol1.fas	2018-02-27 00:00:00	162841
80	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180315_163124_TK1.fas	2018-03-15 00:00:00	163124
81	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180315_163124_TK2.fas	2018-03-15 00:00:00	163124
82	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180315_163124_pol2.fas	2018-03-15 00:00:00	163124
83	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180326_163236_TK1.fas	2018-03-26 00:00:00	163236
84	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180326_163236_TK2.fas	2018-03-26 00:00:00	163236
85	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180328_163287_pol1.fas	2018-03-28 00:00:00	163287
86	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180328_163287_pol2.fas	2018-03-28 00:00:00	163287
87	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180405_163382_TK2.fas	2018-04-05 00:00:00	163382
88	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180409_163430_pol2.fas	2018-04-09 00:00:00	163430
89	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180415_163555_TK1.fas	2018-04-15 00:00:00	163555
90	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180420_163690_TK1.fas	2018-04-20 00:00:00	163690
91	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180420_163690_pol1.fas	2018-04-20 00:00:00	163690
92	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180424_163759_pol1.fas	2018-04-24 00:00:00	163759
93	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180425_163785_pol1.fas	2018-04-25 00:00:00	163785
94	/hpscol02/tenant2/hpc_storage/home/dbibby/DevDirectory/HSVg2p/data/dev_data/FASTAs/18	180501_163855_TK1.fas	2018-05-01 00:00:00	163855
